display  D   display_settings.c:212  debug_display_settings           [   0.06863] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06867] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06870] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06874] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06877] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06881] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06884] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06888] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06891] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06895] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06898] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06902] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06905] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06909] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06914] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06920] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06925] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.06931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06947] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06955] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.06961] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.06974] Single Buffer requirement not met.
